Description	LabelReview.0	Effectivity.0	PartNumber	Rev.0	RevDescription.0	VariableData	variable.LotNo	variable.MfgDate	variable.REFNo	variable.SerialNo	variable.UseBy
"TXT, LBL, BAG, 925454220S"	6262		PC-6493-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454225A"	6262		PC-6495-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454230"	6262		PC-6496-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454235"	6262		PC-6497-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454235S"	6262		PC-6498-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454320"	6262		PC-6499-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454320S"	6262		PC-6500-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454325"	6262		PC-6501-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454330"	6262		PC-6502-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454335"	6262		PC-6503-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925454335S"	6262		PC-6504-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925457325A"	6262		PC-6506-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925457335"	6262		PC-6507-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925474225"	6262		PC-6508-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925474325"	6262		PC-6509-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925474325A"	6262		PC-6510-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925474335"	6262		PC-6511-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925554225"	6262		PC-6512-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925554225S"	6262		PC-6513-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925554235"	6262		PC-6514-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925554320"	6262		PC-6515-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925554330"	6262		PC-6516-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925554335"	6262		PC-6517-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925554335A"	6262		PC-6518-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925574325"	6262		PC-6519-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654220"	6262		PC-6520-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654220A"	6262		PC-6521-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654225"	6262		PC-6522-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654225A"	6262		PC-6523-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654225S"	6262		PC-6524-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654320"	6262		PC-6525-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654325"	6262		PC-6526-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654325A"	6262		PC-6527-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654325S"	6262		PC-6528-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654330"	6262		PC-6529-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654330A"	6262		PC-6530-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925654335"	6262		PC-6531-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925674325"	6262		PC-6532-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925674325A"	6262		PC-6533-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925754220"	6262		PC-6534-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925754225"	6262		PC-6535-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925754325"	6262		PC-6536-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925754325A"	6262		PC-6537-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925754335"	6262		PC-6538-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925757325"	6262		PC-6539-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925757325A"	6262		PC-6540-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925774325"	6262		PC-6541-51A	100	RELEASE	Off	Off	true	Off	true	Off
"TXT, LBL, BAG, 925774325S"	6262		PC-6542-51A	100	RELEASE	Off	Off	true	Off	true	Off
